Node_ID	9301253	cp_level	cp_r_citing_zero	cp_r_citing_nonzero	tr_citing	cp_r_cited_zero	cp_r_cited_nonzero	tr_cited	cp_level_bdid-cit_hepph_cpm_0	cp_r_citing_zero_bdid-cit_hepph_cpm_0	cp_r_citing_nonzero_bdid-cit_hepph_cpm_0	tr_citing_bdid-cit_hepph_cpm_0	cp_r_cited_zero_bdid-cit_hepph_cpm_0	cp_r_cited_nonzero_bdid-cit_hepph_cpm_0	tr_cited_bdid-cit_hepph_cpm_0	11	network_degree	network_indegree	network_outdegree	cluster_degree	cluster_indegree	cluster_outdegree	cp_level_bdid_clustered-cit_hepph_cpm_0	cp_r_citing_zero_bdid_clustered-cit_hepph_cpm_0	cp_r_citing_nonzero_bdid_clustered-cit_hepph_cpm_0	tr_citing_bdid_clustered-cit_hepph_cpm_0	cp_r_cited_zero_bdid_clustered-cit_hepph_cpm_0	cp_r_cited_nonzero_bdid_clustered-cit_hepph_cpm_0	tr_cited_bdid_clustered-cit_hepph_cpm_0	cp_level_bdid-cit_hepph_cpm_0	cp_r_citing_zero_bdid-cit_hepph_cpm_0	cp_r_citing_nonzero_bdid-cit_hepph_cpm_0	tr_citing_bdid-cit_hepph_cpm_0	cp_r_cited_zero_bdid-cit_hepph_cpm_0	cp_r_cited_nonzero_bdid-cit_hepph_cpm_0	tr_cited_bdid-cit_hepph_cpm_0	100	network_degree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	network_indegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	network_outdegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_degree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_indegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_outdegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cp_level_bdid_clustered-cit_hepph_cpm_0	cp_r_citing_zero_bdid_clustered-cit_hepph_cpm_0	cp_r_citing_nonzero_bdid_clustered-cit_hepph_cpm_0	tr_citing_bdid_clustered-cit_hepph_cpm_0	cp_r_cited_zero_bdid_clustered-cit_hepph_cpm_0	cp_r_cited_nonzero_bdid_clustered-cit_hepph_cpm_0	tr_cited_bdid_clustered-cit_hepph_cpm_0	cp_level_bdid-cit_hepph_cpm_0	cp_r_citing_zero_bdid-cit_hepph_cpm_0	cp_r_citing_nonzero_bdid-cit_hepph_cpm_0	tr_citing_bdid-cit_hepph_cpm_0	cp_r_cited_zero_bdid-cit_hepph_cpm_0	cp_r_cited_nonzero_bdid-cit_hepph_cpm_0	tr_cited_bdid-cit_hepph_cpm_0	297	network_degree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	network_indegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	network_outdegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_degree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_indegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cluster_outdegree_degstats-cit_hepph_cleaned-cit_hepph_cpm_0	cp_level_bdid_clustered-cit_hepph_modularity	cp_r_citing_zero_bdid_clustered-cit_hepph_modularity	cp_r_citing_nonzero_bdid_clustered-cit_hepph_modularity	tr_citing_bdid_clustered-cit_hepph_modularity	cp_r_cited_zero_bdid_clustered-cit_hepph_modularity	cp_r_cited_nonzero_bdid_clustered-cit_hepph_modularity	tr_cited_bdid_clustered-cit_hepph_modularity	cp_level_bdid-cit_hepph_modularity	cp_r_citing_zero_bdid-cit_hepph_modularity	cp_r_citing_nonzero_bdid-cit_hepph_modularity	tr_citing_bdid-cit_hepph_modularity	cp_r_cited_zero_bdid-cit_hepph_modularity	cp_r_cited_nonzero_bdid-cit_hepph_modularity	tr_cited_bdid-cit_hepph_modularity	6	network_degree_degstats-cit_hepph_cleaned-cit_hepph_modularity	network_indegree_degstats-cit_hepph_cleaned-cit_hepph_modularity	network_outdegree_degstats-cit_hepph_cleaned-cit_hepph_modularity	cluster_degree_degstats-cit_hepph_cleaned-cit_hepph_modularity	cluster_indegree_degstats-cit_hepph_cleaned-cit_hepph_modularity	cluster_outdegree_degstats-cit_hepph_cleaned-cit_hepph_modularity
1011	9706543.0	3.0	2.0	1.0	1.0	2.0	1.0	2.0	3	2	1	1	2	1	2	16.0	5	3	2	5.0	3.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	3	2	1	1	2	1	2	59.0	5	3	2	3.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	0.0	0.0	3	2	1	1	2	1	2	1731.0	5	3	2	2.0	2.0	0.0	3	2	1	1	2	1	2	3	2	1	1	2	1	2	6.0	5	3	2	5	3	2
1013	9501384.0	4.0	1.0	3.0	3.0	0.0	4.0	16.0	4	1	3	3	0	4	16	11.0	13	4	9	13.0	4.0	9.0	2.0	1.0	1.0	1.0	0.0	2.0	8.0	4	1	3	3	0	4	16	13.0	13	4	9	9.0	2.0	7.0	3.0	1.0	2.0	2.0	3.0	0.0	0.0	4	1	3	3	0	4	16	998.0	13	4	9	3.0	3.0	0.0	4	1	3	3	0	4	16	4	1	3	3	0	4	16	6.0	13	4	9	13	4	9
1014	9503219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1.0	10	0	10	8.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	58.0	10	0	10	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1426.0	10	0	10	2.0	0.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	10	0	10	10	0	10
1015	9903473.0								1	1	0	0	0	1	1	821.0	3	1	2											1	1	0	0	0	1	1	1280.0	3	1	2											1	1	0	0	0	1	1	4144.0	3	1	2				1	1	0	0	0	1	1	1	1	0	0	0	1	1	3.0	3	1	2	3	1	2
1016	9508386.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	1	3	4	0	4	15	4.0	11	4	7	6.0	0.0	6.0	4.0	1.0	3.0	4.0	0.0	4.0	15.0	4	1	3	4	0	4	15	47.0	11	4	7	11.0	4.0	7.0	2.0	1.0	1.0	1.0	0.0	2.0	8.0	4	1	3	4	0	4	15	349.0	11	4	7	7.0	2.0	5.0	0	0	0	0	0	0	0	4	1	3	4	0	4	15	1.0	11	4	7	6	0	6
1017	9802238.0	1.0	1.0	0.0	0.0	0.0	1.0	7.0	1	1	0	0	0	1	7	7.0	14	1	13	12.0	1.0	11.0	1.0	1.0	0.0	0.0	0.0	1.0	7.0	1	1	0	0	0	1	7	2.0	14	1	13	12.0	1.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0	0	1	7	124.0	14	1	13	6.0	0.0	6.0	1	1	0	0	0	1	7	1	1	0	0	0	1	7	10.0	14	1	13	12	1	11
1018	9704290.0								0	0	0	0	0	0	0	1089.0	3	0	3				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	204.0	3	0	3	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	3033.0	3	0	3	1.0	0.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	3	0	3	2	0	2
1019	9302317.0	54.0	5.0	49.0	314.0	1.0	53.0	310.0	54	5	49	314	1	53	317	0.0	83	54	29	82.0	54.0	28.0	47.0	5.0	42.0	268.0	2.0	45.0	251.0	54	5	49	314	1	53	317	18.0	83	54	29	68.0	47.0	21.0	24.0	2.0	22.0	96.0	1.0	23.0	90.0	54	5	49	314	1	53	317	77.0	83	54	29	32.0	24.0	8.0	54	5	49	314	1	53	310	54	5	49	314	1	53	317	4.0	83	54	29	82	54	28
1020	9610280.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1	1	0	0	1	0	0	16.0	6	1	5	6.0	1.0	5.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1	1	0	0	1	0	0	425.0	6	1	5	2.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1	1	0	0	1	0	0	3036.0	6	1	5	1.0	1.0	0.0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	6.0	6	1	5	6	1	5
1021	9208213.0	13.0	6.0	7.0	9.0	0.0	13.0	44.0	13	6	7	9	0	13	44	5.0	23	13	10	23.0	13.0	10.0	12.0	6.0	6.0	8.0	0.0	12.0	36.0	13	6	7	9	0	13	44	27.0	23	13	10	19.0	12.0	7.0	7.0	5.0	2.0	2.0	0.0	7.0	31.0	13	6	7	9	0	13	44	43.0	23	13	10	13.0	7.0	6.0	13	6	7	9	0	13	44	13	6	7	9	0	13	44	7.0	23	13	10	23	13	10
1022	9609357.0	2.0	2.0	0.0	0.0	0.0	2.0	3.0	2	2	0	0	0	2	3	1.0	6	2	4	6.0	2.0	4.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	2	2	0	0	0	2	3	482.0	6	2	4	2.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	2	2	0	0	0	2	3	1896.0	6	2	4	2.0	1.0	1.0	2	2	0	0	0	2	3	2	2	0	0	0	2	3	2.0	6	2	4	6	2	4
1023	9807216.0	6.0	2.0	4.0	7.0	4.0	2.0	3.0	6	2	4	7	4	2	3	2.0	9	6	3	9.0	6.0	3.0	6.0	2.0	4.0	7.0	4.0	2.0	2.0	6	2	4	7	4	2	3	215.0	9	6	3	7.0	6.0	1.0	5.0	1.0	4.0	7.0	4.0	1.0	1.0	6	2	4	7	4	2	3	387.0	9	6	3	6.0	5.0	1.0	6	2	4	7	4	2	3	6	2	4	7	4	2	3	3.0	9	6	3	9	6	3
1024	9612232.0	3.0	3.0	0.0	0.0	0.0	3.0	7.0	3	3	0	0	0	3	7	2.0	37	3	34	36.0	3.0	33.0	2.0	2.0	0.0	0.0	0.0	2.0	5.0	3	3	0	0	0	3	7	3.0	37	3	34	28.0	2.0	26.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0	3	3	0	0	0	3	7	0.0	37	3	34	26.0	1.0	25.0	3	3	0	0	0	3	7	3	3	0	0	0	3	7	3.0	37	3	34	36	3	33
1025	9310350.0	11.0	1.0	10.0	30.0	1.0	10.0	43.0	11	1	10	30	1	10	43	0.0	24	11	13	23.0	11.0	12.0	9.0	1.0	8.0	24.0	0.0	9.0	36.0	11	1	10	30	1	10	43	158.0	24	11	13	19.0	9.0	10.0	8.0	1.0	7.0	23.0	0.0	8.0	38.0	11	1	10	30	1	10	43	176.0	24	11	13	20.0	8.0	12.0	8	1	7	23	0	8	38	11	1	10	30	1	10	43	4.0	24	11	13	20	8	12
1026	9407247.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1	1	0	0	0	1	3	8.0	11	1	10	9.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0	0	1	3	21.0	11	1	10	7.0	0.0	7.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1	1	0	0	0	1	3	1036.0	11	1	10	1.0	1.0	0.0	1	1	0	0	0	1	3	1	1	0	0	0	1	3	5.0	11	1	10	11	1	10
1027	9503439.0	3.0	3.0	0.0	0.0	2.0	1.0	1.0	5	5	0	0	3	2	4	34.0	11	5	6	6.0	3.0	3.0	3.0	3.0	0.0	0.0	2.0	1.0	1.0	5	5	0	0	3	2	4	122.0	11	5	6	6.0	3.0	3.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	5	5	0	0	3	2	4	390.0	11	5	6	4.0	1.0	3.0	5	5	0	0	3	2	4	5	5	0	0	3	2	4	3.0	11	5	6	11	5	6
1028	9311325.0	11.0	3.0	8.0	12.0	1.0	10.0	70.0	12	3	9	13	1	11	75	1.0	27	12	15	24.0	11.0	13.0	7.0	1.0	6.0	7.0	0.0	7.0	58.0	12	3	9	13	1	11	75	6.0	27	12	15	19.0	7.0	12.0	6.0	1.0	5.0	5.0	0.0	6.0	25.0	12	3	9	13	1	11	75	121.0	27	12	15	11.0	6.0	5.0	11	3	8	12	1	10	70	12	3	9	13	1	11	75	2.0	27	12	15	24	11	13
1029	9407378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0	1	0	0	1.0	39	1	38	24.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0	1	0	0	34.0	39	1	38	7.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0	1	0	0	2133.0	39	1	38	3.0	0.0	3.0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2.0	39	1	38	25	0	25
1030	9308347.0	2.0	2.0	0.0	0.0	0.0	2.0	11.0	2	2	0	0	0	2	12	0.0	17	2	15	15.0	2.0	13.0	1.0	1.0	0.0	0.0	0.0	1.0	6.0	2	2	0	0	0	2	12	114.0	17	2	15	8.0	1.0	7.0	1.0	1.0	0.0	0.0	0.0	1.0	7.0	2	2	0	0	0	2	12	256.0	17	2	15	9.0	1.0	8.0	2	2	0	0	0	2	12	2	2	0	0	0	2	12	0.0	17	2	15	16	2	14
1031	9211309.0	37.0	4.0	33.0	184.0	2.0	35.0	186.0	40	5	35	191	3	37	196	7.0	61	40	21	56.0	37.0	19.0	37.0	4.0	33.0	184.0	8.0	29.0	76.0	40	5	35	191	3	37	196	28.0	61	40	21	47.0	37.0	10.0	18.0	2.0	16.0	107.0	7.0	11.0	11.0	40	5	35	191	3	37	196	38.0	61	40	21	19.0	18.0	1.0	29	1	28	145	0	29	126	40	5	35	191	3	37	196	10.0	61	40	21	40	29	11
1032	9209205.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	5	1	1	4	2	5	18.0	31	6	25	10.0	0.0	10.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	6	5	1	1	4	2	5	98.0	31	6	25	11.0	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	5	1	1	4	2	5	115.0	31	6	25	10.0	0.0	10.0	4	3	1	1	2	2	5	6	5	1	1	4	2	5	1.0	31	6	25	16	4	12
1033	9209296.0	5.0	2.0	3.0	6.0	0.0	5.0	81.0	5	2	3	6	0	5	103	2.0	36	5	31	28.0	5.0	23.0	5.0	2.0	3.0	6.0	0.0	5.0	86.0	5	2	3	6	0	5	103	12.0	36	5	31	29.0	5.0	24.0	5.0	2.0	3.0	6.0	0.0	5.0	86.0	5	2	3	6	0	5	103	9.0	36	5	31	29.0	5.0	24.0	5	2	3	6	0	5	97	5	2	3	6	0	5	103	11.0	36	5	31	33	5	28
1034	9205209.0	6.0	3.0	3.0	6.0	2.0	4.0	15.0	6	3	3	6	2	4	15	0.0	16	6	10	16.0	6.0	10.0	5.0	3.0	2.0	5.0	2.0	3.0	10.0	6	3	3	6	2	4	15	95.0	16	6	10	13.0	5.0	8.0	2.0	1.0	1.0	1.0	0.0	2.0	10.0	6	3	3	6	2	4	15	79.0	16	6	10	9.0	2.0	7.0	6	3	3	6	2	4	15	6	3	3	6	2	4	15	4.0	16	6	10	16	6	10
1035	9405237.0	5.0	1.0	4.0	8.0	0.0	5.0	25.0	6	1	5	9	0	6	28	4.0	21	6	15	19.0	5.0	14.0	4.0	1.0	3.0	6.0	0.0	4.0	16.0	6	1	5	9	0	6	28	16.0	21	6	15	9.0	4.0	5.0	5.0	1.0	4.0	8.0	0.0	5.0	17.0	6	1	5	9	0	6	28	202.0	21	6	15	9.0	5.0	4.0	6	1	5	9	0	6	28	6	1	5	9	0	6	28	1.0	21	6	15	21	6	15
1037	9405368.0	2.0	1.0	1.0	1.0	0.0	2.0	6.0	3	2	1	1	1	2	6	1.0	13	3	10	8.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	1	1	1	2	6	58.0	13	3	10	2.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	3	2	1	1	1	2	6	95.0	13	3	10	6.0	1.0	5.0	2	1	1	1	0	2	6	3	2	1	1	1	2	6	2.0	13	3	10	8	2	6
1038	9403218.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	4	1	1	0	5	15	3.0	27	5	22	13.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	4	1	1	0	5	15	8.0	27	5	22	14.0	0.0	14.0	3.0	3.0	0.0	0.0	0.0	3.0	6.0	5	4	1	1	0	5	15	596.0	27	5	22	8.0	3.0	5.0	3	3	0	0	0	3	8	5	4	1	1	0	5	15	8.0	27	5	22	22	3	19
1039	9302316.0	9.0	4.0	5.0	7.0	1.0	8.0	20.0	11	4	7	9	2	9	21	2.0	37	11	26	34.0	9.0	25.0	6.0	3.0	3.0	5.0	0.0	6.0	15.0	11	4	7	9	2	9	21	0.0	37	11	26	24.0	6.0	18.0	5.0	1.0	4.0	5.0	2.0	3.0	3.0	11	4	7	9	2	9	21	446.0	37	11	26	6.0	5.0	1.0	8	3	5	7	0	8	20	11	4	7	9	2	9	21	3.0	37	11	26	33	8	25
1040	9410414.0	28.0	6.0	22.0	78.0	4.0	24.0	83.0	28	6	22	78	4	24	87	3.0	36	28	8	35.0	28.0	7.0	20.0	4.0	16.0	52.0	3.0	17.0	63.0	28	6	22	78	4	24	87	80.0	36	28	8	27.0	20.0	7.0	18.0	4.0	14.0	52.0	3.0	15.0	61.0	28	6	22	78	4	24	87	170.0	36	28	8	25.0	18.0	7.0	26	5	21	70	4	22	85	28	6	22	78	4	24	87	1.0	36	28	8	34	26	8
1041	9807310.0								0	0	0	0	0	0	0	673.0	3	0	3											0	0	0	0	0	0	0	875.0	3	0	3											0	0	0	0	0	0	0	3392.0	3	0	3				0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	3	0	3	3	0	3
1042	9509398.0	3.0	2.0	1.0	1.0	1.0	2.0	4.0	4	3	1	1	1	3	5	20.0	9	4	5	5.0	3.0	2.0	2.0	1.0	1.0	1.0	0.0	2.0	2.0	4	3	1	1	1	3	5	199.0	9	4	5	4.0	2.0	2.0	2.0	1.0	1.0	1.0	0.0	2.0	2.0	4	3	1	1	1	3	5	1693.0	9	4	5	4.0	2.0	2.0	4	3	1	1	1	3	5	4	3	1	1	1	3	5	6.0	9	4	5	9	4	5
1043	9212275.0	6.0	1.0	5.0	9.0	5.0	1.0	1.0	6	1	5	9	5	1	2	15.0	10	6	4	7.0	6.0	1.0	5.0	1.0	4.0	7.0	5.0	0.0	0.0	6	1	5	9	5	1	2	20.0	10	6	4	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	1	5	9	5	1	2	2353.0	10	6	4	1.0	0.0	1.0	6	1	5	9	5	1	1	6	1	5	9	5	1	2	9.0	10	6	4	8	6	2
1044	9407389.0	3.0	1.0	2.0	2.0	0.0	3.0	15.0	3	1	2	2	0	3	15	0.0	25	3	22	24.0	3.0	21.0	3.0	1.0	2.0	2.0	0.0	3.0	13.0	3	1	2	2	0	3	15	4.0	25	3	22	13.0	3.0	10.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	3	1	2	2	0	3	15	1018.0	25	3	22	3.0	1.0	2.0	3	1	2	2	0	3	15	3	1	2	2	0	3	15	0.0	25	3	22	20	3	17
